nombre,grupo,descripcion,etiqueta,icono,orden,activo,color,mensaje_wa
Hatha Yoga,yoga,"Equilibrio entre fuerza, flexibilidad y respiración.",,hatha,1,SI,,
Yoga Dinámico,yoga,"Energía, movimiento y vitalidad para cuerpo y mente.",,dinamico,2,SI,,
Yoga Suave,yoga,Clases suaves y conscientes para soltar tensiones.,,suave,3,SI,lavanda,
Yoga Adaptado,yoga,Prácticas adaptadas a tus necesidades y ritmo.,,adaptado,4,SI,,
Yoga Relajante,yoga,Relajación profunda para liberar el estrés y calmar la mente.,,relajante,5,SI,pizarra,
Yoga para Niños,yoga,Yoga y juegos para crecer en equilibrio corporal y emocional.,,ninos,6,SI,melocoton,
Gestión Emocional,taller,Talleres y sesiones individuales para comprender y gestionar tus emociones.,PARA EMPRESAS,mente,1,SI,,
Breathwork,taller,"Talleres de respiración consciente para liberar, renovar y conectar contigo.",TALLERES 1 VEZ AL MES,pulmones,2,SI,,
Rebirthing Consciente,taller,Respiración conectada para liberar bloqueos emocionales y transformar tu energía.,GRUPO FIJO UN JUEVES CADA 15 DÍAS,espiral,3,SI,,
Constelaciones Familiares,taller,"Sanar, comprender y liberar patrones para vivir en armonía con tu sistema familiar.",,familia,4,SI,,
Gimnasia Pasiva en Camilla,taller,Relajación profunda a través del movimiento pasivo. Libera tensiones y restaura tu energía.,,camilla,5,SI,,
Baño de Cuencos,taller,Relajación profunda con sonido y vibración que armonizan cuerpo y mente.,TALLERES 1 VEZ AL MES,cuencos,6,SI,,
Sanergía,taller,"Técnica energética que armoniza cuerpo, mente y emociones a través de la imposición de manos y la canalización de energía universal.",,loto-manos,7,SI,,
